location,Code,GDP
Aruba,ABW,
Africa Eastern and Southern,AFE,1359.618224
Afghanistan,AFG,516.7478708
Africa Western and Central,AFW,1710.073363
Angola,AGO,1776.166868
Albania,ALB,5246.292306
Andorra,AND,
Arab World,ARB,5612.68657
United Arab Emirates,ARE,36284.55524
Argentina,ARG,8579.017773
Armenia,ARM,4266.018074
American Samoa,ASM,12844.90099
Antigua and Barbuda,ATG,13992.74448
Australia,AUS,51692.84275
Austria,AUT,48586.80132
Azerbaijan,AZE,4221.407478
Burundi,BDI,238.9907259
Belgium,BEL,45159.34822
Benin,BEN,1291.040972
Burkina Faso,BFA,857.9327297
Bangladesh,BGD,1961.613749
Bulgaria,BGR,10079.20338
Bahrain,BHR,20409.9528
"Bahamas, The",BHS,25194.02514
Bosnia and Herzegovina,BIH,6079.738285
Belarus,BLR,6424.152176
Belize,BLZ,4115.177008
Bermuda,BMU,107079.4798
Bolivia,BOL,3133.099803
Brazil,BRA,6796.844542
Barbados,BRB,15373.8547
Brunei Darussalam,BRN,27442.95383
Bhutan,BTN,3000.779327
Botswana,BWA,6404.899932
Central African Republic,CAF,492.7958712
Canada,CAN,43294.64816
Central Europe and the Baltics,CEB,16168.19665
Switzerland,CHE,87097.03645
Channel Islands,CHI,
Chile,CHL,13231.70421
China,CHN,10434.77519
Cote d'Ivoire,CIV,2325.723705
Cameroon,CMR,1537.130218
"Congo, Dem. Rep.",COD,543.9503925
"Congo, Rep.",COG,1846.131297
Colombia,COL,5334.556042
Comoros,COM,1420.661747
Cabo Verde,CPV,3064.272388
Costa Rica,CRI,12140.85415
Caribbean small states,CSS,8873.521929
Cuba,CUB,9477.852873
Curacao,CUW,16745.72431
Cayman Islands,CYM,85082.52686
Cyprus,CYP,27527.84531
Czech Republic,CZE,22931.2746
Germany,DEU,46208.42947
Djibouti,DJI,3425.484176
Dominica,DMA,7003.859021
Denmark,DNK,61063.31643
Dominican Republic,DOM,7268.19691
Algeria,DZA,3306.858208
East Asia & Pacific (excluding high income),EAP,8254.670871
Early-demographic dividend,EAR,3201.652532
East Asia & Pacific,EAS,11477.79259
Europe & Central Asia (excluding high income),ECA,7668.524344
Europe & Central Asia,ECS,23955.30516
Ecuador,ECU,5600.389615
"Egypt, Arab Rep.",EGY,3569.206841
Euro area,EMU,37967.80187
Eritrea,ERI,
Spain,ESP,27063.19392
Estonia,EST,23027.027
Ethiopia,ETH,936.3404611
European Union,EUU,34148.9199
Fragile and conflict affected situations,FCS,1622.216976
Finland,FIN,48744.98813
Fiji,FJI,5057.631913
France,FRA,39030.36037
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3565.293294
Gabon,GAB,6881.715192
United Kingdom,GBR,41059.16881
Georgia,GEO,4266.690795
Ghana,GHA,2205.529016
Gibraltar,GIB,
Guinea,GIN,1194.037865
"Gambia, The",GMB,773.0020701
Guinea-Bissau,GNB,727.5201717
Equatorial Guinea,GNQ,7143.238705
Greece,GRC,17622.541
Grenada,GRD,9261.551876
Greenland,GRL,
Guatemala,GTM,4603.339617
Guam,GUM,34624.34013
Guyana,GUY,6955.939217
High income,HIC,44003.41371
"Hong Kong SAR, China",HKG,46323.86344
Honduras,HND,2389.012431
Heavily indebted poor countries (HIPC),HPC,968.6904998
Croatia,HRV,14134.16268
Haiti,HTI,1272.367992
Hungary,HUN,15980.74089
IBRD only,IBD,6149.361544
IDA & IBRD total,IBT,4891.090255
IDA total,IDA,1310.67516
IDA blend,IDB,1674.917871
Indonesia,IDN,3869.588427
IDA only,IDX,1126.932467
Isle of Man,IMN,
India,IND,1927.707823
Not classified,INX,
Ireland,IRL,85267.76474
"Iran, Islamic Rep.",IRN,2422.480657
Iraq,IRQ,4145.862936
Iceland,ISL,59270.18005
Israel,ISR,44168.94364
Italy,ITA,31714.22095
Jamaica,JAM,4664.530242
Jordan,JOR,4282.765825
Japan,JPN,40193.25244
Kazakhstan,KAZ,9122.23343
Kenya,KEN,1878.580703
Kyrgyz Republic,KGZ,1173.611304
Cambodia,KHM,1543.669258
Kiribati,KIR,1653.540297
St. Kitts and Nevis,KNA,18437.74892
"Korea, Rep.",KOR,31631.46945
Kuwait,KWT,24811.76971
Latin America & Caribbean (excluding high income),LAC,6779.199717
Lao PDR,LAO,2629.714583
Lebanon,LBN,4649.547646
Liberia,LBR,632.9363856
Libya,LBY,3699.294765
St. Lucia,LCA,8804.561048
Latin America & Caribbean,LCN,7244.659419
Least developed countries: UN classification,LDC,1053.752571
Low income,LIC,691.1683328
Liechtenstein,LIE,
Sri Lanka,LKA,3680.673477
Lower middle income,LMC,2217.214884
Low & middle income,LMY,4754.8241
Lesotho,LSO,875.353433
Late-demographic dividend,LTE,9683.425159
Lithuania,LTU,20233.64135
Luxembourg,LUX,116014.6025
Latvia,LVA,17726.25294
"Macao SAR, China",MAC,39403.13591
St. Martin (French part),MAF,
Morocco,MAR,3058.691689
Monaco,MCO,173688.1894
Moldova,MDA,4547.059721
Madagascar,MDG,471.4914963
Maldives,MDV,6924.105745
Middle East & North Africa,MEA,6534.395623
Mexico,MEX,8329.271313
Marshall Islands,MHL,4129.850998
Middle income,MIC,5216.947891
North Macedonia,MKD,5917.262575
Mali,MLI,862.4530188
Malta,MLT,27884.64283
Myanmar,MMR,1467.604281
Middle East & North Africa (excluding high income),MNA,3018.433655
Montenegro,MNE,7677.152226
Mongolia,MNG,4060.950518
Northern Mariana Islands,MNP,
Mozambique,MOZ,448.5442807
Mauritania,MRT,1701.991163
Mauritius,MUS,8627.843157
Malawi,MWI,636.8205368
Malaysia,MYS,10412.34898
North America,NAC,61502.09595
Namibia,NAM,4179.278066
New Caledonia,NCL,
Niger,NER,567.6698923
Nigeria,NGA,2097.092473
Nicaragua,NIC,1905.261152
Netherlands,NLD,52397.11671
Norway,NOR,67329.67779
Nepal,NPL,1155.142854
Nauru,NRU,10580.26819
New Zealand,NZL,41441.46667
OECD members,OED,38218.87237
Oman,OMN,14485.38612
Other small states,OSS,11766.97374
Pakistan,PAK,1188.859757
Panama,PAN,12509.83529
Peru,PER,6126.87454
Philippines,PHL,3298.829586
Palau,PLW,14243.86469
Papua New Guinea,PNG,2757.21753
Poland,POL,15720.99466
Pre-demographic dividend,PRE,1332.049211
Puerto Rico,PRI,32290.92114
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,22176.29671
Paraguay,PRY,5001.07276
West Bank and Gaza,PSE,3239.731108
Pacific island small states,PSS,3768.543357
Post-demographic dividend,PST,44475.18917
French Polynesia,PYF,
Qatar,QAT,50124.38594
Romania,ROU,12896.08862
Russian Federation,RUS,10126.72179
Rwanda,RWA,797.8555207
South Asia,SAS,1823.712912
Saudi Arabia,SAU,20110.31619
Sudan,SDN,486.4188163
Senegal,SEN,1471.830962
Singapore,SGP,59797.75218
Solomon Islands,SLB,2250.601164
Sierra Leone,SLE,509.376594
El Salvador,SLV,3798.636521
San Marino,SMR,
Somalia,SOM,438.2551656
Serbia,SRB,7720.510572
Sub-Saharan Africa (excluding high income),SSA,1500.349997
South Sudan,SSD,
Sub-Saharan Africa,SSF,1501.152921
Small states,SST,10770.58978
Sao Tome and Principe,STP,2157.840446
Suriname,SUR,4916.605666
Slovak Republic,SVK,19266.51357
Slovenia,SVN,25517.33067
Sweden,SWE,52274.40879
Eswatini,SWZ,3424.282212
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,10764.42042
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,23879.92665
Chad,TCD,659.270045
East Asia & Pacific (IDA & IBRD countries),TEA,8346.03881
Europe & Central Asia (IDA & IBRD countries),TEC,8387.390693
Togo,TGO,914.9507925
Thailand,THA,7186.874092
Tajikistan,TJK,859.1379611
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,7035.753075
Timor-Leste,TLS,1442.730738
Middle East & North Africa (IDA & IBRD countries),TMN,3015.703551
Tonga,TON,4624.823449
South Asia (IDA & IBRD),TSA,1823.712912
Sub-Saharan Africa (IDA & IBRD countries),TSS,1501.152921
Trinidad and Tobago,TTO,15425.63511
Tunisia,TUN,3521.591948
Turkey,TUR,8536.43332
Tuvalu,TUV,4143.109753
Tanzania,TZA,1076.469706
Uganda,UGA,822.0276815
Ukraine,UKR,3724.938437
Upper middle income,UMC,9177.840437
Uruguay,URY,15438.41167
United States,USA,63593.44362
Uzbekistan,UZB,1750.697113
St. Vincent and the Grenadines,VCT,7278.016297
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2785.724161
Vanuatu,VUT,2870.0893
World,WLD,10918.72283
Samoa,WSM,4067.843459
Kosovo,XKX,4346.637931
"Yemen, Rep.",YEM,
South Africa,ZAF,5655.867654
Zambia,ZMB,985.132436
Zimbabwe,ZWE,1214.50982
